year,institution,csranking,ranking
2020,TU Dortmund University,233,354
2020,Weizmann Institute,108,1397
2020,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",59,1397
2020,Alibaba Group,-1,-1
2020,National University of Singapore,16,25
2020,JD AI Research,-1,-1
2020,Massachusetts Institute of Technology,2,5
2020,Srilanka Institute of information Technology,481,1397
2020,webank,-1,-1
2020,Syracuse University,233,292
2020,Max-Planck Institute,-1,-1
2020,Aalto University,143,182
2020,Target,-1,-1
2020,University of Waterloo,28,235
2020,Swiss Federal Institute of Technology Lausanne,481,38
2020,Opinheiro,-1,-1
2020,Element AI,-1,-1
2020,Rensselaer Polytechnic Institute,172,438
2020,Bogazici University,323,672
2020,TU Dortmund,233,354
2020,The University of Tokyo,56,36
2020,University of Pennsylvania,19,11
2020,Lund University,390,98
2020,Oceandatalab,-1,-1
2020,NASA,-1,-1
2020,University of Goettingen,323,123
2020,TU Berlin,108,149
2020,Icloud,-1,-1
2020,RWTH Aachen University,95,98
2020,"Nara Institute of Science and Technology, Japan",481,1397
2020,Colorado School of Mines,172,343
2020,Prostatecentre,-1,-1
2020,Rice University,84,105
2020,Butterfly Network Inc,-1,-1
2020,Korea Advanced Institute of Science and Technology,481,110
2020,Perimeter Institute,-1,-1
2020,AIST,-1,-1
2020,Northwestern University,44,22
2020,University of Salzburg,266,1397
2020,ASAPP Inc,-1,-1
2020,IDSIA,-1,-1
2020,"BITS Pilani, BITS Pilani",480,1397
2020,NCSOFT,-1,-1
2020,Hyundai Mobis,-1,-1
2020,Amanhussain,-1,-1
2020,Iowa State University,172,399
2020,"Indiana University, Bloomington",73,134
2020,Foxmail,-1,-1
2020,University of Grenoble-Alpes,481,329
2020,Mila - Quebec AI Institute,-1,-1
2020,"Volkswagen Group, ML Research Lab",-1,-1
2020,Duke University,47,20
2020,University of Moratuwa,-1,-1
2020,Ecole polytechnique,481,93
2020,"University of North Carolina, Chapel Hill",73,54
2020,IMT Atlantique,481,393
2020,Facebook,-1,-1
2020,Universitat de Barcelona,481,213
2020,FX Palo Alto Laboratory,-1,-1
2020,SAP,323,258
2020,NNAISENSE,-1,-1
2020,Graz University of Technology,108,542
2020,Vector Institute,-1,-1
2020,University of Vienna,205,134
2020,Tencent AI Lab,-1,-1
2020,University of Virginia Main Campus,59,107
2020,"University of Illinois, Chicago",56,254
2020,Uppsala University,154,102
2020,University of California at Merced,481,354
2020,Accenture,-1,-1
2020,Hao-li,-1,-1
2020,Lineagelogistics,-1,-1
2020,Science for Life Laboratory,-1,-1
2020,Higher School of Economics,481,251
2020,Capital One Bank,-1,-1
2020,Chennai Mathematical Institute,-1,-1
2020,Toronto University,18,18
2020,Radboud University Nijmegen,390,128
2020,Icentia,-1,-1
2020,VinAI Research,-1,-1
2020,Rochester Institute of Technology,128,843
2020,University of Central Florida,77,609
2020,"State University of New York, Stony Brook",41,304
2020,Barcelona Supercomputing Center,-1,-1
2020,Universität Osnabrück,481,1397
2020,CEA,233,1027
2020,Yandex,-1,-1
2020,AXA,-1,-1
2020,Institut Supérieur de l'Aéronautique et de l'Espace,481,1397
2020,University of Surrey,205,260
2020,TU Kaiserslautern,154,601
2020,NVIDIA,-1,-1
2020,University of Delaware,233,295
2020,Malong Technologies,-1,-1
2020,Brandeis University,323,244
2020,mosaix.ai,-1,-1
2020,University of Erlangen-Nuremberg,205,182
2020,Insight Centre for Data Analytics,-1,-1
2020,OMRON SINIC X,-1,-1
2020,University of Rostock,390,-1
2020,University of Applied Sciences Würzburg-Schweinfurt,481,1397
2020,Toshiba Research Europe Ltd.,-1,-1
2020,University of Stuttgart,95,292
2020,Birmingham University,128,112
2020,University of Guelph,266,558
2020,Institut de Recherche en Informatique de Toulouse,-1,-1
2020,National Tsing Hua University,172,365
2020,University of Stirling,481,350
2020,"University of Washington, Seattle",6,26
2020,Prosus,-1,-1
2020,University of Haifa,172,544
2020,University of Cambridge,71,3
2020,Kings,-1,-1
2020,Heidelberg University,205,44
2020,Pixel Scientia Labs,-1,-1
2020,Bosch,-1,-1
2020,Bloomberg LP,-1,-1
2020,Universidad Sergio Arboleda,481,1397
2020,University of Michigan,8,21
2020,POSTECH,118,146
2020,Télécom ParisTech,481,187
2020,Wright State University,481,1397
2020,Hong Kong University of Science and Technology,39,47
2020,Pacific Northwest National Laboratory,-1,-1
2020,Lunit Inc.,-1,-1
2020,Harbin Institute of Technology,172,424
2020,University of Calgary,172,210
2020,The University of Nottingham,233,152
2020,University of Victoria,172,449
2020,Cardiff University,172,196
2020,LRI - Université Paris Sud,481,227
2020,Alan Turing Institute,-1,-1
2020,Skolkovo Institute of Science and Technology,-1,-1
2020,"University of Texas, Austin",22,38
2020,Institut für Informatik,-1,-1
2020,The University of Melbourne,118,32
2020,Technical University of Denmark,481,182
2020,Multimedia University,481,1285
2020,Institute of Science and Technology Austria,481,1397
2020,Keio University,390,692
2020,Polytechnique Montreal,390,1397
2020,"KTH Royal Institute of Technology, Stockholm, Sweden",128,222
2020,University of Rochester,100,173
2020,Aix Marseille University,481,329
2020,"University of California, San Diego",11,31
2020,"University of Maryland, College Park",12,91
2020,Singapore University of Technology and Design,481,1397
2020,Jilin University,481,952
2020,CSIRO,-1,-1
