year,title,authors,author_data
2018,VSE++: Improving Visual-Semantic Embeddings with Hard Negatives,"['https://www.semanticscholar.org/author/David-J.-Fleet/1793739', 'https://www.semanticscholar.org/author/Jamie-Ryan-Kiros/51131802', 'https://www.semanticscholar.org/author/Fartash-Faghri/2978170', 'https://www.semanticscholar.org/author/Sanja-Fidler/37895334']","[{'Publications': '218', 'h-index': '60', 'Citations': '19,103', 'Highly Influential Citations': '1,691'}, {'Publications': '18', 'h-index': '9', 'Citations': '1,435', 'Highly Influential Citations': '177'}, {'Publications': '12', 'h-index': '5', 'Citations': '858', 'Highly Influential Citations': '140'}, {'Publications': '160', 'h-index': '49', 'Citations': '11,171', 'Highly Influential Citations': '1,429'}]"
2018,Dynamically Learning the Learning Rates:  Online Hyperparameter Optimization,"['https://www.semanticscholar.org/author/Anima-Anandkumar/2047844', 'https://www.semanticscholar.org/author/Tuhin-Subhra-Sarkar/3196815', 'https://www.semanticscholar.org/author/Leo-Dirac/67174746']","[{'Publications': '191', 'h-index': '39', 'Citations': '5,836', 'Highly Influential Citations': '781'}, {'Publications': '26', 'h-index': '9', 'Citations': '234', 'Highly Influential Citations': '14'}, {'Publications': '6', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}]"
2018,MULTI-MODAL GEOLOCATION ESTIMATION USING DEEP NEURAL NETWORKS,"['https://www.semanticscholar.org/author/Jesse-M.-Johns/14621350', 'https://www.semanticscholar.org/author/Jeremiah-Rounds/4155554', 'https://www.semanticscholar.org/author/Michael-J.-Henry/11947551']","[{'Publications': '18', 'h-index': '4', 'Citations': '35', 'Highly Influential Citations': '0'}, {'Publications': '11', 'h-index': '3', 'Citations': '104', 'Highly Influential Citations': '7'}, {'Publications': '28', 'h-index': '4', 'Citations': '43', 'Highly Influential Citations': '1'}]"
2018,Accelerating Convolutional Neural Networks using Iterative Two-Pass Decomposition,"['https://www.semanticscholar.org/author/Chih-Tsun-Huang/1962730', 'https://www.semanticscholar.org/author/Hao-Ning-Wu/31906809' 'https://www.semanticscholar.org/author/Wei-Shiang-Lin/46639807']","[{'Publications': '102', 'h-index': '22', 'Citations': '1,553', 'Highly Influential Citations': '130'}, {'Publications': '2', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}, {'Publications': '76', 'h-index': '17', 'Citations': '1,191', 'Highly Influential Citations': '47'}]"
2018,Adaptive Weight Sparsity for Training Deep Neural Networks,"['https://www.semanticscholar.org/author/Jack-Lindsey/19131047', 'https://www.semanticscholar.org/author/Ilya-Sharapov/143627441', 'https://www.semanticscholar.org/author/Michael-James/143660108']","[{'Publications': '13', 'h-index': '3', 'Citations': '33', 'Highly Influential Citations': '1'}, {'Publications': '22', 'h-index': '9', 'Citations': '969', 'Highly Influential Citations': '63'}, {'Publications': '175', 'h-index': '22', 'Citations': '1,588', 'Highly Influential Citations': '82'}]"
2018,Deep Net Triage: Assessing The Criticality of Network Layers by Structural Compression,"['https://www.semanticscholar.org/author/Jason-J.-Corso/3587688', 'https://www.semanticscholar.org/author/Theodore-S.-Nowak/31127992']","[{'Publications': '233', 'h-index': '34', 'Citations': '6,349', 'Highly Influential Citations': '594'}, {'Publications': '2', 'h-index': '1', 'Citations': '2', 'Highly Influential Citations': '1'}]"
2018,Deep Active Learning over the Long Tail,"['https://www.semanticscholar.org/author/Ran-El-Yaniv/1387872181', 'https://www.semanticscholar.org/author/Yonatan-Geifman/16082116']","[{'Publications': '100', 'h-index': '34', 'Citations': '7,700', 'Highly Influential Citations': '886'}, {'Publications': '8', 'h-index': '5', 'Citations': '192', 'Highly Influential Citations': '19'}]"
2018,THE LOCAL DIMENSION OF DEEP MANIFOLD,"['https://www.semanticscholar.org/author/Yanren-Zhang/25472733', 'https://www.semanticscholar.org/author/Mengxiao-Zhang/4727261', 'https://www.semanticscholar.org/author/Wangquan-Wu/153038259', 'https://www.semanticscholar.org/author/Kun-He/1702188', 'https://www.semanticscholar.org/author/Huan-Long/39007850', 'https://www.semanticscholar.org/author/Tao-Yu/40418746', 'https://www.semanticscholar.org/author/John-E.-Hopcroft/1706504']","[{'Publications': '9', 'h-index': '2', 'Citations': '4', 'Highly Influential Citations': '1'}, {'Publications': '29', 'h-index': '7', 'Citations': '131', 'Highly Influential Citations': '4'}, {'Publications': '2', 'h-index': '1', 'Citations': '2', 'Highly Influential Citations': '1'}, {'Publications': '39', 'h-index': '16', 'Citations': '662', 'Highly Influential Citations': '61'}, {'Publications': '37', 'h-index': '9', 'Citations': '425', 'Highly Influential Citations': '9'}, {'Publications': '397', 'h-index': '26', 'Citations': '4,057', 'Highly Influential Citations': '259'}, {'Publications': '303', 'h-index': '64', 'Citations': '31,889', 'Highly Influential Citations': '2,764'}]"
2018,Learning to Imagine Manipulation Goals for Robot Task Planning,"['https://www.semanticscholar.org/author/Christian-Rupprecht/2714036', 'https://www.semanticscholar.org/author/Chris-Paxton/1977464', 'https://www.semanticscholar.org/author/Raman-Arora/144365054', 'https://www.semanticscholar.org/author/Gregory-D.-Hager/1678633', 'https://www.semanticscholar.org/author/Kapil-D.-Katyal/2788711']","[{'Publications': '45', 'h-index': '13', 'Citations': '1,312', 'Highly Influential Citations': '214'}, {'Publications': '36', 'h-index': '10', 'Citations': '350', 'Highly Influential Citations': '14'}, {'Publications': '86', 'h-index': '22', 'Citations': '2,852', 'Highly Influential Citations': '459'}, {'Publications': '519', 'h-index': '60', 'Citations': '17,706', 'Highly Influential Citations': '1,200'}, {'Publications': '40', 'h-index': '12', 'Citations': '596', 'Highly Influential Citations': '26'}]"
2018,Human-like Clustering with Deep Convolutional Neural Networks,"['https://www.semanticscholar.org/author/Ali-Borji/3177797', 'https://www.semanticscholar.org/author/Aysegul-Dundar/2130620']","[{'Publications': '138', 'h-index': '39', 'Citations': '7,843', 'Highly Influential Citations': '816'}, {'Publications': '21', 'h-index': '10', 'Citations': '615', 'Highly Influential Citations': '39'}]"
