Universality Theorems for Generative Models,"['https://www.semanticscholar.org/author/Valentin-Khrulkov/10662951', 'https://www.semanticscholar.org/author/Ivan-V.-Oseledets/1738205']","[{'Publications': '12', 'h-index': '7', 'Citations': '165', 'Highly Influential Citations': '17'}, {'Publications': '200', 'h-index': '31', 'Citations': '4,783', 'Highly Influential Citations': '413'}]"
Embodied Language Grounding with Implicit 3D Visual Feature Representations,"['https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557', 'https://www.semanticscholar.org/author/Syed-Ashar-Javed/40604609', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Adam-W.-Harley/34939798', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Maximilian-Sieb/51039185']","[{'Publications': '55', 'h-index': '15', 'Citations': '1,992', 'Highly Influential Citations': '205'}, {'Publications': '6', 'h-index': '3', 'Citations': '19', 'Highly Influential Citations': '3'}, {'Publications': '3', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}, {'Publications': '20', 'h-index': '8', 'Citations': '523', 'Highly Influential Citations': '59'}, {'Publications': '25', 'h-index': '8', 'Citations': '457', 'Highly Influential Citations': '44'}, {'Publications': '6', 'h-index': '2', 'Citations': '8', 'Highly Influential Citations': '0'}]"
Geometry-Aware Visual Predictive Models of Intuitive Physics,"['https://www.semanticscholar.org/author/Zhou-Xi-an/145541288', 'https://www.semanticscholar.org/author/Mihir-Prabhudesai/1381902419', 'https://www.semanticscholar.org/author/Hsiao-Yu-Fish-Tung/1693704', 'https://www.semanticscholar.org/author/Katerina-Fragkiadaki/1705557']","[{'Publications': '31', 'h-index': '2', 'Citations': '8', 'Highly Influential Citations': '2'}, {'Publications': '3', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}, {'Publications': '25', 'h-index': '8', 'Citations': '457', 'Highly Influential Citations': '44'}, {'Publications': '55', 'h-index': '15', 'Citations': '1,992', 'Highly Influential Citations': '205'}]"
PNEN: Pyramid Non-Local Enhanced Networks,"['https://www.semanticscholar.org/author/Chaowei-Fang/2082794', 'https://www.semanticscholar.org/author/Kai-Kuang-Ma/123870267', 'https://www.semanticscholar.org/author/Feida-Zhu/1409856741']","[{'Publications': '12', 'h-index': '4', 'Citations': '48', 'Highly Influential Citations': '7'}, {'Publications': '7', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '10', 'h-index': '2', 'Citations': '7', 'Highly Influential Citations': '0'}]"
Auto Network Compression with Cross-Validation Gradient,"['https://www.semanticscholar.org/author/Yilu-Liu/49420818', 'https://www.semanticscholar.org/author/Nannan-Tian/6302868']","[{'Publications': '255', 'h-index': '30', 'Citations': '3,225', 'Highly Influential Citations': '140'}, {'Publications': '15', 'h-index': '7', 'Citations': '140', 'Highly Influential Citations': '2'}]"
Feature-based Augmentation for Semi-Supervised Learning,"['https://www.semanticscholar.org/author/Byung-Gook-Park/146291893', 'https://www.semanticscholar.org/author/Min-Hye-Oh/145668470']","[{'Publications': '49', 'h-index': '3', 'Citations': '110', 'Highly Influential Citations': '0'}, {'Publications': '10', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}]"
Capsule Networks without Routing Procedures,"['https://www.semanticscholar.org/author/Chuhua-Wang/1468379652', 'https://www.semanticscholar.org/author/David-J.-Crandall/2821130', 'https://www.semanticscholar.org/author/Zhenhua-Chen/49865585', 'https://www.semanticscholar.org/author/Xiwen-Li/47058176']","[{'Publications': '3', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}, {'Publications': '186', 'h-index': '32', 'Citations': '5,948', 'Highly Influential Citations': '457'}, {'Publications': '39', 'h-index': '6', 'Citations': '105', 'Highly Influential Citations': '4'}, {'Publications': '9', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}]"
Noisy $\ell^{0}$-Sparse Subspace Clustering on Dimensionality Reduced Data,['https://www.semanticscholar.org/author/Yingzhen-Yang/2680237'],"[{'Publications': '83', 'h-index': '20', 'Citations': '2,130', 'Highly Influential Citations': '175'}]"
Side-Tuning: Network Adaptation via Additive Side Networks,"['https://www.semanticscholar.org/author/Jagannath-Malik/153652147', 'https://www.semanticscholar.org/author/Leonidas-J.-Guibas/1744254', 'https://www.semanticscholar.org/author/Amir-Roshan-Zamir/40029556', 'https://www.semanticscholar.org/author/Jeffrey-O.-Zhang/2042436', 'https://www.semanticscholar.org/author/Alexander-Sax/46389228']","[{'Publications': '36', 'h-index': '13', 'Citations': '12,683', 'Highly Influential Citations': '1,267'}, {'Publications': '705', 'h-index': '101', 'Citations': '49,689', 'Highly Influential Citations': '5,666'}, {'Publications': '51', 'h-index': '22', 'Citations': '5,450', 'Highly Influential Citations': '1,162'}, {'Publications': '28', 'h-index': '14', 'Citations': '1,108', 'Highly Influential Citations': '57'}, {'Publications': '9', 'h-index': '4', 'Citations': '455', 'Highly Influential Citations': '47'}]"
Deep Multivariate Mixture of Gaussians for Object Detection under Occlusion,"['https://www.semanticscholar.org/author/Jianren-Wang/2966240', 'https://www.semanticscholar.org/author/Yihui-He/39838894']","[{'Publications': '28', 'h-index': '5', 'Citations': '122', 'Highly Influential Citations': '8'}, {'Publications': '36', 'h-index': '10', 'Citations': '1,342', 'Highly Influential Citations': '204'}]"
