year,title,date,paper_links,author_links
2019,Bilingual-GAN: Neural Text Generation and Neural Machine Translation as Two Sides of the Same Coin,9/27/18,['https://www.semanticscholar.org/paper/Bilingual-GAN%3A-Neural-Text-Generation-and-Neural-as-Rashid-Do-Omri/0569208df74c467cb687baddd0a00b60a54cdbb0'],"['https://www.semanticscholar.org/author/Md.-Akmal-Haidar/2864965', 'https://www.semanticscholar.org/author/Mehdi-Rezagholizadeh/1924511', 'https://www.semanticscholar.org/author/Alan-Do-Omri/27711498', 'https://www.semanticscholar.org/author/Ahmad-Safuan-A.-Rashid/8954505']"
2019,"Learning Robust, Transferable Sentence Representations for Text Classification",9/27/18,['https://www.semanticscholar.org/paper/Learning-Robust%2C-Transferable-Sentence-for-Text-Ahmad-Bai/0c6602439185ad8268ebcd99d1ac4afd66fb4c7b'],"['https://www.semanticscholar.org/author/Wasi-Uddin-Ahmad/38123220', 'https://www.semanticscholar.org/author/Xueying-Bai/8536136', 'https://www.semanticscholar.org/author/Nanyun-Peng/3157053', 'https://www.semanticscholar.org/author/Kai-Wei-Chang/2782886']"
2019,Empirical observations on the instability of aligning word vector spaces with GANs,9/27/18,['https://www.semanticscholar.org/paper/Empirical-observations-on-the-instability-of-word-Hartmann-Kementchedjhieva/44e56ec152d0468c346456aa7a633609e0c90efc'],"['https://www.semanticscholar.org/author/Anders-S%C3%B8gaard/1700187', 'https://www.semanticscholar.org/author/Mareike-Hartmann/34604611', 'https://www.semanticscholar.org/author/Yova-Kementchedjhieva/51208524']"
2019,Low-Rank Matrix Factorization of LSTM as Effective Model Compression,9/27/18,['https://www.semanticscholar.org/paper/Low-Rank-Matrix-Factorization-of-LSTM-as-Effective-Winata-Madotto/3f66552c8d93d1dc9ab40ad932c0d3a841824c55'],"['https://www.semanticscholar.org/author/Elham-J.-Barezi/26418289', 'https://www.semanticscholar.org/author/Andrea-Madotto/3064807', 'https://www.semanticscholar.org/author/Genta-Indra-Winata/9162688', 'https://www.semanticscholar.org/author/Jamin-Shin/51228826']"
2019,Combining Global Sparse Gradients with Local Gradients,9/27/18,['https://www.semanticscholar.org/paper/Combining-Global-Sparse-Gradients-with-Local-Aji-Heafield/d6fdef52d1803aa378ba13b522b73e679afc86c7'],"['https://www.semanticscholar.org/author/Alham-Fikri-Aji/8129718', 'https://www.semanticscholar.org/author/Kenneth-Heafield/1702066']"
2019,KNOWLEDGE DISTILL VIA LEARNING NEURON MANIFOLD,9/27/18,['https://www.semanticscholar.org/paper/KNOWLEDGE-DISTILL-VIA-LEARNING-NEURON-MANIFOLD-Tao-Xia/22b8ef274659c3f038aa26bd42e542c03ef3d598'],"['https://www.semanticscholar.org/author/Qing-Li/47422406', 'https://www.semanticscholar.org/author/Zeyi-Tao/51117228', 'https://www.semanticscholar.org/author/Qi-Xia/144194726']"
2019,Adversarial Decomposition of Text Representation,8/27/18,['https://www.semanticscholar.org/paper/Adversarial-Decomposition-of-Text-Representation-Romanov-Rumshisky/80e913e4a2d52cf024a0aaebbe0f4246bf94c26d'],"['https://www.semanticscholar.org/author/David-Donahue/123494435', 'https://www.semanticscholar.org/author/Alexey-Romanov/145020546', 'https://www.semanticscholar.org/author/Anna-Rumshisky/1681193', 'https://www.semanticscholar.org/author/Anna-Rogers/145046059']"
2019,How to learn (and how not to learn) multi-hop reasoning with memory networks,9/27/18,['https://www.semanticscholar.org/paper/How-to-learn-(and-how-not-to-learn)-multi-hop-with-Chen-Durrett/24c4fe42582a89896a8a3db0884677f4c155cf2b'],"['https://www.semanticscholar.org/author/Jifan-Chen/3100431', 'https://www.semanticscholar.org/author/Greg-Durrett/1814094']"
2019,Learning to Attend On Essential Terms: An Enhanced Retriever-Reader Model for Open-domain Question Answering,8/28/18,"['https://www.semanticscholar.org/paper/Learning-to-Attend-On-Essential-Terms%3A-An-Enhanced-Ni-Zhu/94b0f87dddc59e0d1aa2c5d30748abfc0aaf19e0', 'https://www.semanticscholar.org/paper/Learning-to-Attend-On-Essential-Terms%3A-An-Enhanced-Ni-Zhu/9cd3ea5cbbe0716fe19ff750940222cdedb22fc8']","['https://www.semanticscholar.org/author/Jianmo-Ni/2148023', 'https://www.semanticscholar.org/author/Julian-J.-McAuley/35660011', 'https://www.semanticscholar.org/author/Chenguang-Zhu/8652308', 'https://www.semanticscholar.org/author/Weizhu-Chen/7307263']"
2019,The Missing Ingredient in Zero-Shot Neural Machine Translation,3/17/19,['https://www.semanticscholar.org/paper/The-Missing-Ingredient-in-Zero-Shot-Neural-Machine-Arivazhagan-Bapna/0c677d362b8668ebdd5c10b07657752b07947b13'],"['https://www.semanticscholar.org/author/Orhan-Firat/2345617', 'https://www.semanticscholar.org/author/Ankur-Bapna/12295226', 'https://www.semanticscholar.org/author/Melvin-Johnson/145657834', 'https://www.semanticscholar.org/author/Naveen-Arivazhagan/3365231', 'https://www.semanticscholar.org/author/Wolfgang-Macherey/3153147', 'https://www.semanticscholar.org/author/Roee-Aharoni/2335771']"
