THE LOCAL DIMENSION OF DEEP MANIFOLD,['https://www.semanticscholar.org/paper/The-Local-Dimension-of-Deep-Manifold-Zhang-Wu/e1a54256d23c15385409f4fd6152d273bd562abb'],[{'Citations': 2}]
Learning to Imagine Manipulation Goals for Robot Task Planning,['https://www.semanticscholar.org/paper/Learning-to-Imagine-Manipulation-Goals-for-Robot-Paxton-Katyal/778f8258bad0620b996666d883ce261216558ddd'],[{'Citations': 1}]
Human-like Clustering with Deep Convolutional Neural Networks,['https://www.semanticscholar.org/paper/Human-like-Clustering-with-Deep-Convolutional-Borji-Dundar/ddb561cbdc1e8d76e88679c115f277effde4db8d'],[{'Citations': 2}]
Attribute-aware Collaborative Filtering: Survey and Classification,"['https://www.semanticscholar.org/paper/Attribute-aware-Collaborative-Filtering%3A-Survey-and-Chen-Hsu/296831a95aa306e3d3409d482439d7827c19cc46', 'https://www.semanticscholar.org/paper/Attribute-Aware-Recommender-System-Based-on-Survey-Chen-Hsu/a8b34545935013dac51e9f1012c5df07257e9dcd']","[{'Citations': 0}, {'Citations': 0}]"
Continuous Propagation: Layer-Parallel Training,['https://www.semanticscholar.org/paper/Continuous-Propagation%3A-Layer-Parallel-Training-James-Arpit/2d4ab29826f9cc2dcc6608ddab6a7e2e05391adc'],[{'Citations': 1}]
Learning Topics using Semantic Locality,['https://www.semanticscholar.org/paper/Learning-Topics-Using-Semantic-Locality-Zhao-Pugdeethosapol/fd9d16f44f7677e7fbaaaec6826fabea63b7ae55'],[{'Citations': 3}]
Anticipatory Asynchronous Advantage Actor-Critic (A4C): The power of Anticipation in Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Anticipatory-Asynchronous-Advantage-Actor-Critic-of-Luan-Medini/588cf6ff7cc952c2e90079c6d96bb7839bbcd7f4'],[{'Citations': 0}]
Sparse Deep Scattering Croisé Network,['https://www.semanticscholar.org/paper/Sparse-Deep-Scattering-Crois%C3%A9-Network-Cosentino-Balestriero/60aaf40b70d4a38c4546d8601b0143b94547b9d9'],[{'Citations': 0}]
Incremental Learning in Deep Convolutional Neural Networks Using Partial Network Sharing,['https://www.semanticscholar.org/paper/Incremental-Learning-in-Deep-Convolutional-Neural-Sarwar-Ankit/59d660d1dc9114a93f906945a65d41d1a4eaa7ec'],[{'Citations': 32}]
Bayesian Embeddings for Long-Tailed Datasets,['https://www.semanticscholar.org/paper/Bayesian-Embeddings-for-Long-Tailed-Datasets-Fragoso-Ramanan/17bece4f871199192d71d35aebe5af154f74872a'],[{'Citations': 3}]
