authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Weixun-Wang/2209431', 'https://www.semanticscholar.org/author/Tianpei-Yang/3449314', 'https://www.semanticscholar.org/author/Yong-Liu/143711913', 'https://www.semanticscholar.org/author/Jianye-Hao/40513470', 'https://www.semanticscholar.org/author/Xiaotian-Hao/2105811', 'https://www.semanticscholar.org/author/Yujing-Hu/1776850', 'https://www.semanticscholar.org/author/Yingfeng-Chen/2519427', 'https://www.semanticscholar.org/author/Changjie-Fan/3120655', 'https://www.semanticscholar.org/author/Yang-Gao/49658113']",745;47;1426;491;55;161;133;99;2357,44;18;202;138;21;20;31;28;238,11;4;18;11;5;5;7;6;26,54;8;118;42;3;6;5;11;136
"['https://www.semanticscholar.org/author/Boris-Hanin/30030844', 'https://www.semanticscholar.org/author/Mihai-Nica/153251276']",479;20,31;19,12;2,42;2
['https://www.semanticscholar.org/author/Andreas-Loukas/1966031'],628,53,15,51
"['https://www.semanticscholar.org/author/Sergei-Popov/145875763', 'https://www.semanticscholar.org/author/Stanislav-Morozov/144260215', 'https://www.semanticscholar.org/author/Artem-Babenko/143743802']",761;36;1657,108;17;29,15;3;10,26;11;282
"['https://www.semanticscholar.org/author/Milad-Alizadeh/2522169', 'https://www.semanticscholar.org/author/Arash-Behboodi/1723534', 'https://www.semanticscholar.org/author/Mart-van-Baalen/147409784', 'https://www.semanticscholar.org/author/Christos-Louizos/2075783', 'https://www.semanticscholar.org/author/Tijmen-Blankevoort/83133279', 'https://www.semanticscholar.org/author/Max-Welling/1678311']",88;318;38;1273;87;28145,27;66;5;23;13;329,5;9;2;12;3;60,13;17;11;239;17;5302
"['https://www.semanticscholar.org/author/Lingxiao-Zhao/21613538', 'https://www.semanticscholar.org/author/Leman-Akoglu/3255268']",141;4078,24;125,8;32,7;415
"['https://www.semanticscholar.org/author/Zirui-Wang/2331539', 'https://www.semanticscholar.org/author/Jiateng-Xie/20467900', 'https://www.semanticscholar.org/author/Ruochen-Xu/8233965', 'https://www.semanticscholar.org/author/Yiming-Yang/35729970', 'https://www.semanticscholar.org/author/Graham-Neubig/1700325', 'https://www.semanticscholar.org/author/Jaime-G.-Carbonell/143712374']",32;92;109;21623;5304;16003,5;8;14;273;443;507,2;3;6;49;38;55,2;9;15;2592;547;1648
"['https://www.semanticscholar.org/author/Jimmy-Ba/2503659', 'https://www.semanticscholar.org/author/Murat-A.-Erdogdu/2090630', 'https://www.semanticscholar.org/author/Taiji-Suzuki/40617873', 'https://www.semanticscholar.org/author/Denny-Wu/32329596', 'https://www.semanticscholar.org/author/Tianzong-Zhang/1580185689']",52924;627;2318;138;10,56;47;177;16;3,22;10;26;6;2,8625;99;237;3;0
"['https://www.semanticscholar.org/author/Fan-Keng-Sun/81193769', 'https://www.semanticscholar.org/author/Cheng-Hao-Ho/153222133', 'https://www.semanticscholar.org/author/Hung-yi-Lee/1706104']",26;1;1119,6;2;134,2;1;18,7;1;76
"['https://www.semanticscholar.org/author/Hung-Le/143725625', 'https://www.semanticscholar.org/author/Truyen-Tran/6254479', 'https://www.semanticscholar.org/author/Svetha-Venkatesh/144162181']",791;1938;615,49;133;141,11;24;12,88;127;44
"['https://www.semanticscholar.org/author/Yeming-Wen/38356166', 'https://www.semanticscholar.org/author/Dustin-Tran/47497262', 'https://www.semanticscholar.org/author/Jimmy-Ba/2503659']",144;1809;52924,10;50;56,4;20;22,13;197;8625
"['https://www.semanticscholar.org/author/Andreas-Madsen/36541264', 'https://www.semanticscholar.org/author/alexander-rosenberg-johansen/153849889']",1249;109,54;10,20;5,79;8
"['https://www.semanticscholar.org/author/Chongxuan-Li/2399563', 'https://www.semanticscholar.org/author/Chao-Du/144369491', 'https://www.semanticscholar.org/author/Jun-Zhu/47055094', 'https://www.semanticscholar.org/author/Max-Welling/1678311', '-1', 'https://www.semanticscholar.org/author/Bo-Zhang/34997537']",504;279;11658;27129;-1;318,19;41;322;270;-1;103,7;9;43;59;-1;6,60;8;726;5160;0;46
"['https://www.semanticscholar.org/author/Fangchen-Liu/32324034', 'https://www.semanticscholar.org/author/Zhan-Ling/49706114', 'https://www.semanticscholar.org/author/Tongzhou-Mu/3431352', 'https://www.semanticscholar.org/author/Hao-Su/71309570']",476;4;15;17303,15;9;5;48,5;1;3;15,76;0;0;2681
"['https://www.semanticscholar.org/author/Tonghan-Wang/2620321', 'https://www.semanticscholar.org/author/Jianhao-Wang/7898670', 'https://www.semanticscholar.org/author/Yi-Wu/13841178', 'https://www.semanticscholar.org/author/Chongjie-Zhang/1797369']",15;192;773;551,6;19;169;59,2;4;14;12,4;9;32;44
"['https://www.semanticscholar.org/author/Dongsheng-An/2137430', 'https://www.semanticscholar.org/author/Yu-Chuan-Guo/8280229', 'https://www.semanticscholar.org/author/Na-Lei/47684954', 'https://www.semanticscholar.org/author/Zhongxuan-Luo/145865683', 'https://www.semanticscholar.org/author/Shing-Tung-Yau/151225728', 'https://www.semanticscholar.org/author/Xianfeng-Gu/50042085']",58;20;717;803;78;818,12;19;125;174;7;42,4;3;14;14;2;11,6;2;15;57;7;60
"['https://www.semanticscholar.org/author/Fabien-Baradel/9943923', 'https://www.semanticscholar.org/author/Natalia-Neverova/48307541', 'https://www.semanticscholar.org/author/Julien-Mille/1723242', 'https://www.semanticscholar.org/author/Greg-Mori/10771328', 'https://www.semanticscholar.org/author/Christian-Wolf/144899680']",255;435;696;9711;2941,9;19;62;197;113,7;7;15;45;28,32;51;71;817;236
"['https://www.semanticscholar.org/author/Francesco-Locatello/9557137', 'https://www.semanticscholar.org/author/Michael-Tschannen/143902495', 'https://www.semanticscholar.org/author/Stefan-Bauer/144771902', 'https://www.semanticscholar.org/author/Gunnar-R%C3%A4tsch/2414086', 'https://www.semanticscholar.org/author/Bernhard-Sch%C3%B6lkopf/1707625', 'https://www.semanticscholar.org/author/Olivier-Bachem/1936951']",452;1229;1780;9598;77134;904,29;39;170;244;860;38,12;18;21;52;119;14,49;160;117;784;9933;101
"['https://www.semanticscholar.org/author/Sayna-Ebrahimi/27556211', 'https://www.semanticscholar.org/author/Mohamed-Elhoseiny/1712479', 'https://www.semanticscholar.org/author/Trevor-Darrell/1753210', 'https://www.semanticscholar.org/author/Marcus-Rohrbach/34849128']",174;1447;90979;11691,19;67;559;90,7;18;112;45,24;189;11527;1548
"['https://www.semanticscholar.org/author/Ahmed-Hussain-Qureshi/1711521', 'https://www.semanticscholar.org/author/Jacob-J.-Johnson/47400658', 'https://www.semanticscholar.org/author/Yuzhe-Qin/12701031', 'https://www.semanticscholar.org/author/Taylor-Henderson/39019927', 'https://www.semanticscholar.org/author/Byron-Boots/3288815', 'https://www.semanticscholar.org/author/Michael-C.-Yip/35860894']",297;208;30;15;2468;690,21;15;7;6;135;43,10;9;3;2;27;14,11;7;1;0;252;52
"[""https://www.semanticscholar.org/author/Brendan-O'Donoghue/1389654226"", 'https://www.semanticscholar.org/author/Ian-Osband/2561924', 'https://www.semanticscholar.org/author/Catalin-Ionescu/2273228']",2441;2492;1388,30;28;38,16;19;10,300;357;171
"['https://www.semanticscholar.org/author/Pablo-Barcel%C3%B3/72524637', 'https://www.semanticscholar.org/author/Egor-V.-Kostylev/1783695', 'https://www.semanticscholar.org/author/Mikael-Monet/1471398497', 'https://www.semanticscholar.org/author/Jorge-P%C3%A9rez/144022458', 'https://www.semanticscholar.org/author/Juan-L.-Reutter/2478931', 'https://www.semanticscholar.org/author/Juan-Pablo-Silva/144709178']",175;625;11;9;951;15,20;66;3;7;79;9,6;16;1;1;18;2,28;52;4;3;78;3
"['https://www.semanticscholar.org/author/Massimo-Caccia/1750641', 'https://www.semanticscholar.org/author/Lucas-Caccia/51889580', 'https://www.semanticscholar.org/author/William-Fedus/26958176', 'https://www.semanticscholar.org/author/Hugo-Larochelle/1777528', 'https://www.semanticscholar.org/author/Joelle-Pineau/145134886', 'https://www.semanticscholar.org/author/Laurent-Charlin/1778839']",78;89;696;25332;11328;2500,6;8;25;124;267;41,3;3;10;44;46;20,17;19;91;2884;1235;337
"['https://www.semanticscholar.org/author/Johannes-Klicpera/51516539', 'https://www.semanticscholar.org/author/Janek-Gross/1557081085', 'https://www.semanticscholar.org/author/Stephan-G%C3%BCnnemann/3075189']",135;9;2528,7;1;139,5;1;28,40;3;291
"['https://www.semanticscholar.org/author/Shahbaz-Rezaei/30728474', 'https://www.semanticscholar.org/author/Xin-Liu/145692126']",67;9679,12;573,5;39,4;847
"['https://www.semanticscholar.org/author/Niv-Giladi/67166430', 'https://www.semanticscholar.org/author/Mor-Shpigel-Nacson/36088413', 'https://www.semanticscholar.org/author/Elad-Hoffer/40555034', 'https://www.semanticscholar.org/author/Daniel-Soudry/1912398']",23;93;1493;5011,5;5;27;76,2;3;12;26,2;18;176;642
"['https://www.semanticscholar.org/author/Casey-Chu/30414789', 'https://www.semanticscholar.org/author/Kentaro-Minami/50400173', 'https://www.semanticscholar.org/author/Kenji-Fukumizu/1693668']",78;44;5832,9;6;195,3;3;35,10;3;762
"['https://www.semanticscholar.org/author/Sebastian-East/51197593', 'https://www.semanticscholar.org/author/Marco-Gallieri/2066311', 'https://www.semanticscholar.org/author/Jonathan-Masci/2426718', 'https://www.semanticscholar.org/author/Jan-Koutn%C3%ADk/2865775', 'https://www.semanticscholar.org/author/Mark-Cannon/144370530']",21;147;5373;3122;3503,9;17;47;50;208,3;6;22;14;31,0;9;474;297;246
"['https://www.semanticscholar.org/author/Xingyou-Song/32725720', 'https://www.semanticscholar.org/author/Yiding-Jiang/4614137', 'https://www.semanticscholar.org/author/Stephen-Tu/1985955', 'https://www.semanticscholar.org/author/Yilun-Du/15394275', 'https://www.semanticscholar.org/author/Behnam-Neyshabur/3007442']",29;268;2128;128;2442,15;9;46;27;27,3;6;18;6;19,4;20;322;10;319
"['https://www.semanticscholar.org/author/Colin-Wei/3460405', 'https://www.semanticscholar.org/author/Tengyu-Ma/1901958']",313;3939,16;88,8;32,34;508
"['https://www.semanticscholar.org/author/Siddharth-Reddy/51024029', 'https://www.semanticscholar.org/author/Anca-D.-Dragan/2745001', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651']",88;3704;24893,14;127;310,4;31;74,8;286;3235
"['https://www.semanticscholar.org/author/Michael-Tsang/49130616', 'https://www.semanticscholar.org/author/Dehua-Cheng/34559238', 'https://www.semanticscholar.org/author/Hanpeng-Liu/29901869', 'https://www.semanticscholar.org/author/Xue-Feng/1387713281', 'https://www.semanticscholar.org/author/Eric-Zhou/145664885', 'https://www.semanticscholar.org/author/Yan-Liu/152891674']",2417;430;130;35;41;165,101;34;6;23;10;16,25;12;3;3;3;3,198;29;12;1;8;16
"['https://www.semanticscholar.org/author/Cody-A.-Coleman/2866919', 'https://www.semanticscholar.org/author/Christopher-Yeh/144088780', 'https://www.semanticscholar.org/author/Stephen-Mussmann/1776721', 'https://www.semanticscholar.org/author/Baharan-Mirzasoleiman/2389094', 'https://www.semanticscholar.org/author/Peter-Bailis/2740804', 'https://www.semanticscholar.org/author/Percy-Liang/145419642', 'https://www.semanticscholar.org/author/Jure-Leskovec/1702139', 'https://www.semanticscholar.org/author/Matei-Zaharia/143834867']",554;124;118;945;2243;12798;48502;29007,16;9;15;28;121;145;302;136,9;4;7;12;24;48;93;39,57;13;6;145;231;2071;6080;3459
"['https://www.semanticscholar.org/author/Will-Grathwohl/7649077', 'https://www.semanticscholar.org/author/Kuan-Chieh-Wang/122782486', 'https://www.semanticscholar.org/author/Jorn-Henrik-Jacobsen/134172524', 'https://www.semanticscholar.org/author/David-Kristjanson-Duvenaud/1704657', 'https://www.semanticscholar.org/author/Mohammad-Norouzi/144739074', 'https://www.semanticscholar.org/author/Kevin-Swersky/1754860']",391;180;207;6070;8136;5797,13;11;11;76;126;52,5;3;5;29;32;23,87;24;38;763;1021;885
"['https://www.semanticscholar.org/author/Alejandro-Molina/143666792', 'https://www.semanticscholar.org/author/Patrick-Schramowski/40896023', 'https://www.semanticscholar.org/author/Kristian-Kersting/1746871']",225;17;5839,33;10;343,9;3;41,18;1;464
"['https://www.semanticscholar.org/author/Fabian-Latorre/80981661', 'https://www.semanticscholar.org/author/Paul-Rolland/144780274', 'https://www.semanticscholar.org/author/Volkan-Cevher/1382076210']",0;115;14,3;44;10,0;5;1,0;9;3
"['https://www.semanticscholar.org/author/Jacob-Beck/143863790', 'https://www.semanticscholar.org/author/Kamil-Ciosek/2474449', 'https://www.semanticscholar.org/author/Sam-Devlin/1693696', 'https://www.semanticscholar.org/author/Sebastian-Tschiatschek/3302876', 'https://www.semanticscholar.org/author/Cuicui-Zhang/50445724', 'https://www.semanticscholar.org/author/Katja-Hofmann/1380228856']",1396;136;655;781;160;178,78;20;73;64;112;36,16;7;12;13;7;8,95;14;35;49;6;11
"['https://www.semanticscholar.org/author/Amir-Hosein-Khas-Ahmadi/1516916058', 'https://www.semanticscholar.org/author/Kaveh-Hassani/46827428', 'https://www.semanticscholar.org/author/Parsa-Moradi/3249115', 'https://www.semanticscholar.org/author/Leo-Lee/49441608', 'https://www.semanticscholar.org/author/Quaid-D.-Morris/1731810']",3;44;21;244;15130,2;12;5;69;197,1;3;2;6;50,2;7;4;12;1297
"['https://www.semanticscholar.org/author/Matthew-Shunshi-Zhang/6303990', 'https://www.semanticscholar.org/author/Bradly-C.-Stadie/3275284']",41;778,8;17,2;7,0;50
"['https://www.semanticscholar.org/author/Kimin-Lee/3436470', 'https://www.semanticscholar.org/author/Kibok-Lee/2208511', 'https://www.semanticscholar.org/author/Jinwoo-Shin/143720148', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141']",507;749;1752;24514,27;35;186;166,8;12;19;62,108;112;225;2837
"['https://www.semanticscholar.org/author/Michael-Tschannen/143902495', 'https://www.semanticscholar.org/author/Josip-Djolonga/2941141', 'https://www.semanticscholar.org/author/Paul-K.-Rubenstein/48159426', 'https://www.semanticscholar.org/author/Sylvain-Gelly/1802148', 'https://www.semanticscholar.org/author/Mario-Lucic/34302129']",1229;353;132;3609;1625,39;21;12;112;48,18;9;6;26;21,160;24;21;464;196
"['https://www.semanticscholar.org/author/Vikranth-Reddy-Dwaracherla/3427981', 'https://www.semanticscholar.org/author/Xiuyuan-Lu/13803873', 'https://www.semanticscholar.org/author/Morteza-Ibrahimi/145424823', 'https://www.semanticscholar.org/author/Ian-Osband/2561924', 'https://www.semanticscholar.org/author/Zheng-Wen/1500397567', 'https://www.semanticscholar.org/author/Benjamin-Van-Roy/1731282']",25;81;173;2492;2;7351,9;17;15;28;7;162,3;5;7;19;1;42,2;2;20;357;0;662
"['https://www.semanticscholar.org/author/Balasubramaniam-Srinivasan/28090984', 'https://www.semanticscholar.org/author/Bruno-Ribeiro/145848194']",122;14,46;6,6;2,2;0
"['https://www.semanticscholar.org/author/Hanqing-Zeng/33352252', 'https://www.semanticscholar.org/author/Hongkuan-Zhou/7678265', 'https://www.semanticscholar.org/author/Ajitesh-Srivastava/2215594', 'https://www.semanticscholar.org/author/Rajgopal-Kannan/145297301', 'https://www.semanticscholar.org/author/Viktor-K.-Prasanna/48271565']",201;42;128;1694;100,29;6;41;175;19,8;4;6;19;3,15;6;12;88;17
"['https://www.semanticscholar.org/author/Ziwei-Ji/3391272', 'https://www.semanticscholar.org/author/Matus-Telgarsky/1750943']",169;2045,16;44,5;15,28;346
"['https://www.semanticscholar.org/author/Kaliyaperumal-Karthikeyan/46451258', 'https://www.semanticscholar.org/author/Zihan-Wang/47196738', 'https://www.semanticscholar.org/author/Stephen-Mayhew/2153374', 'https://www.semanticscholar.org/author/Dan-Roth/152567881']",80;47;207;101,39;23;26;13,4;3;7;3,3;3;30;5
"['https://www.semanticscholar.org/author/Lukasz-Kaiser/40527594', 'https://www.semanticscholar.org/author/Mohammad-Babaeizadeh/3365707', 'https://www.semanticscholar.org/author/Piotr-Milos/29900205', 'https://www.semanticscholar.org/author/Blazej-Osinski/41022287', 'https://www.semanticscholar.org/author/Roy-H.-Campbell/143775101', 'https://www.semanticscholar.org/author/Konrad-Czechowski/30770224', 'https://www.semanticscholar.org/author/Dumitru-Erhan/1761978', 'https://www.semanticscholar.org/author/Chelsea-Finn/46881670', 'https://www.semanticscholar.org/author/Piotr-Kozakowski/49265654', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', '-1', 'https://www.semanticscholar.org/author/Ryan-Sepassi/35474601', 'https://www.semanticscholar.org/author/George-Tucker/145499435', 'https://www.semanticscholar.org/author/Henryk-Michalewski/47407464']",22913;628;437;136;12297;137;43043;7879;109;24893;-1;563;2705;368,75;19;46;5;560;15;60;101;4;310;-1;6;75;53,23;8;10;3;54;4;31;34;1;74;-1;4;21;9,3899;94;37;11;961;11;6039;1060;7;3235;0;70;301;26
"['https://www.semanticscholar.org/author/Fan-Yun-Sun/51447186', 'https://www.semanticscholar.org/author/Jordan-Hoffmann/46616544', '-1', 'https://www.semanticscholar.org/author/Jian-Tang/144551170']",31;103;-1;5178,8;23;-1;154,3;7;-1;34,9;8;0;450
"['https://www.semanticscholar.org/author/Zhichao-Huang/50294051', 'https://www.semanticscholar.org/author/Tong-Zhang/50728655']",63;164,18;78,5;5,6;14
"['https://www.semanticscholar.org/author/Muhan-Zhang/1390814008', 'https://www.semanticscholar.org/author/Yixin-Chen/47557959']",22;681,6;54,3;7,0;90
"['https://www.semanticscholar.org/author/Pedro-Tabacof/2728925', 'https://www.semanticscholar.org/author/Luca-Costabello/3021495']",169;213,8;35,5;8,13;21
"['https://www.semanticscholar.org/author/Oleksandr-Shchur/32724677', 'https://www.semanticscholar.org/author/Marin-Bilos/1388111489', 'https://www.semanticscholar.org/author/Stephan-G%C3%BCnnemann/3075189']",262;5;2528,12;3;139,4;2;28,38;0;291
"['https://www.semanticscholar.org/author/Jinyuan-Jia/143987304', 'https://www.semanticscholar.org/author/Xiaoyu-Cao/47300733', 'https://www.semanticscholar.org/author/Binghui-Wang/1789625', 'https://www.semanticscholar.org/author/Neil-Zhenqiang-Gong/144516687']",25;164;397;1640,8;25;35;72,3;6;10;22,3;16;19;146
"['https://www.semanticscholar.org/author/Wei-Hu/1471043558', 'https://www.semanticscholar.org/author/Zhiyuan-Li/46947755', 'https://www.semanticscholar.org/author/Dingli-Yu/150084780']",18;675;11,15;13;8,2;10;1,1;116;0
"['https://www.semanticscholar.org/author/Yuexiang-Zhai/119692515', 'https://www.semanticscholar.org/author/Hermish-Mehta/153580345', 'https://www.semanticscholar.org/author/Zhengyuan-Zhou/47230320', 'https://www.semanticscholar.org/author/Yuliang-Ma/50032052']",27;9;963;34958,6;4;85;549,3;2;16;58,7;3;116;5265
"['https://www.semanticscholar.org/author/Atsuhiro-Noguchi/70325244', 'https://www.semanticscholar.org/author/Tatsuya-Harada/1790553']",17;2594,3;213,2;26,7;327
"['https://www.semanticscholar.org/author/Ioana-Bica/39965049', 'https://www.semanticscholar.org/author/Ahmed-M.-Alaa/145629795', 'https://www.semanticscholar.org/author/J.-Brian-Jordon/4690510', 'https://www.semanticscholar.org/author/Mihaela-van-der-Schaar/1729969']",12;409;844;8828,7;72;105;642,3;12;16;42,1;20;33;547
"['https://www.semanticscholar.org/author/Tingwu-Wang/3428549', 'https://www.semanticscholar.org/author/Jimmy-Ba/2503659']",190;52924,8;56,5;22,17;8625
"['https://www.semanticscholar.org/author/Jiayi-Wei/49319137', 'https://www.semanticscholar.org/author/M-Goyal/90672004', 'https://www.semanticscholar.org/author/Greg-Durrett/1814094', 'https://www.semanticscholar.org/author/Isil-Dillig/1714075']",40;5;1253;2197,9;5;48;99,3;2;16;26,2;0;163;204
"['https://www.semanticscholar.org/author/Yichi-Zhang/1591132058', 'https://www.semanticscholar.org/author/Ritchie-Zhao/30456097', 'https://www.semanticscholar.org/author/Weizhe-Hua/37794086', 'https://www.semanticscholar.org/author/Nayun-Xu/35718053', 'https://www.semanticscholar.org/author/G.-Edward-Suh/145691878', 'https://www.semanticscholar.org/author/Zhiru-Zhang/38554991']",35;487;98;15;6272;2158,11;21;13;4;114;105,2;10;6;1;32;22,3;54;12;0;819;203
"['https://www.semanticscholar.org/author/Rong-Ye/48977251', 'https://www.semanticscholar.org/author/Wenxian-Shi/92229033', 'https://www.semanticscholar.org/author/Hao-Zhou/49780826', 'https://www.semanticscholar.org/author/Zhongyu-Wei/2712533', 'https://www.semanticscholar.org/author/Lei-Li/143900010']",112;24;174;783;346,24;7;73;80;78,6;3;8;14;8,6;1;26;83;47
"['https://www.semanticscholar.org/author/Nimrod-Segol/66870455', 'https://www.semanticscholar.org/author/Yaron-Lipman/3232072']",59;5288,4;99,3;41,12;531
"['https://www.semanticscholar.org/author/Baoxiang-Wang/47780630', 'https://www.semanticscholar.org/author/Shuai-Li/47319689', 'https://www.semanticscholar.org/author/Jiajin-Li/10297509', 'https://www.semanticscholar.org/author/Siu-On-Chan/35207380']",54;654;36;378,14;158;13;22,3;14;2;8,3;34;2;40
"['https://www.semanticscholar.org/author/Augustus-Odena/2624088', 'https://www.semanticscholar.org/author/Charles-Sutton/152549864']",3293;50,25;18,13;3,477;4
"['https://www.semanticscholar.org/author/Hae-Beom-Lee/80316080', '-1', 'https://www.semanticscholar.org/author/Donghyun-Na/100766287', 'https://www.semanticscholar.org/author/Saehoon-Kim/1898376', 'https://www.semanticscholar.org/author/Minseop-Park/144568677', 'https://www.semanticscholar.org/author/Eunho-Yang/1720494', 'https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904']",96;-1;165;424;123;1067;1128,23;-1;10;35;7;75;71,5;-1;4;10;4;16;16,4;0;6;68;28;169;125
"['https://www.semanticscholar.org/author/David-Balduzzi/1722983', 'https://www.semanticscholar.org/author/Wojiech-M.-Czarnecki/1485512374', 'https://www.semanticscholar.org/author/Thomas-W.-Anthony/2735286', 'https://www.semanticscholar.org/author/Ian-M.-Gemp/2019762', 'https://www.semanticscholar.org/author/Edward-Hughes/37591038', 'https://www.semanticscholar.org/author/Joel-Z.-Leibo/1700356', 'https://www.semanticscholar.org/author/Georgios-Piliouras/1787822', 'https://www.semanticscholar.org/author/Thore-Graepel/1686971']",2521;3;154;15;152;3547;1257;19274,61;1;18;4;20;75;99;161,21;1;6;2;7;29;19;45,359;1;9;1;13;357;84;1406
"['https://www.semanticscholar.org/author/Ted-Xiao/9961095', 'https://www.semanticscholar.org/author/Eric-B.-Jang/6651888', 'https://www.semanticscholar.org/author/Dmitry-A.-Kalashnikov/9210522', 'https://www.semanticscholar.org/author/Sergey-Levine/152198491', 'https://www.semanticscholar.org/author/Julian-Ibarz/46920727', 'https://www.semanticscholar.org/author/Karol-Hausman/1944801', 'https://www.semanticscholar.org/author/Alexander-Herzog/1505793452']",83;2181;336;959;2860;872;0,15;138;67;34;22;62;3,3;26;11;9;13;15;0,2;140;4;103;349;53;0
"['https://www.semanticscholar.org/author/Aviv-Gabbay/27485318', 'https://www.semanticscholar.org/author/Yedid-Hoshen/2776254']",96;503,8;33,5;10,10;59
"['https://www.semanticscholar.org/author/Sergey-Bartunov/2258504', 'https://www.semanticscholar.org/author/Jack-W.-Rae/34269227', 'https://www.semanticscholar.org/author/Simon-Osindero/2217144', 'https://www.semanticscholar.org/author/Timothy-P.-Lillicrap/2542999']",1148;631;14818;24158,13;19;38;74,8;10;21;39,125;74;1866;2943
"['https://www.semanticscholar.org/author/Chen-Yu-Hsu/2502450', 'https://www.semanticscholar.org/author/Abbas-Zeitoun/1583964783', 'https://www.semanticscholar.org/author/Guang-He-Lee/2141495', 'https://www.semanticscholar.org/author/Dina-Katabi/1785714', 'https://www.semanticscholar.org/author/Tommi-S.-Jaakkola/35132120']",444;1;103;19583;22299,31;1;18;254;293,9;1;6;67;69,34;0;15;2607;2326
"['https://www.semanticscholar.org/author/Eric-Mitchell/49688913', 'https://www.semanticscholar.org/author/Kazim-Selim-Engin/35908198', 'https://www.semanticscholar.org/author/Volkan-Isler/1698835', 'https://www.semanticscholar.org/author/Daniel-D.-Lee/145675444']",41;16;3391;9481,25;3;188;183,3;2;29;31,3;1;167;1468
"['https://www.semanticscholar.org/author/Benjamin-James-Lansdell/9558586', 'https://www.semanticscholar.org/author/Prashanth-Ravi-Prakash/35990103', 'https://www.semanticscholar.org/author/Konrad-Paul-K%C3%B6rding/144231671']",88;160;1151,13;13;35,5;5;12,5;13;80
"['https://www.semanticscholar.org/author/Tribhuvanesh-Orekondy/9517443', 'https://www.semanticscholar.org/author/Bernt-Schiele/48920094', 'https://www.semanticscholar.org/author/Mario-Fritz/1739548']",115;41307;7800,13;503;198,4;99;46,23;5119;1012
"['https://www.semanticscholar.org/author/Yi-Lin-Sung/1576236743', 'https://www.semanticscholar.org/author/Sung-Hsien-Hsieh/3340656', 'https://www.semanticscholar.org/author/Soo-Chang-Pei/97737619', 'https://www.semanticscholar.org/author/Chun-Shien-Lu/144854327']",0;177;77;3221,1;31;22;171,0;5;5;31,0;26;4;219
"['https://www.semanticscholar.org/author/Angela-Fan/144270981', 'https://www.semanticscholar.org/author/Edouard-Grave/3024698', 'https://www.semanticscholar.org/author/Armand-Joulin/2319608']",1838;7711;10653,26;57;74,14;23;32,268;1136;1533
"['https://www.semanticscholar.org/author/Zuyue-Fu/89704452', 'https://www.semanticscholar.org/author/Zhuoran-Yang/150358650', 'https://www.semanticscholar.org/author/Yongxin-Chen/2369515', 'https://www.semanticscholar.org/author/Zhaoran-Wang/3113442']",11;182;892;1193,6;41;107;78,2;7;15;20,3;22;39;132
"['https://www.semanticscholar.org/author/Pawel-Korus/1984673', 'https://www.semanticscholar.org/author/Nasir-D.-Memon/145095247']",344;13325,30;390,9;59,32;1155
"['https://www.semanticscholar.org/author/Tianshu-Chu/2688276', 'https://www.semanticscholar.org/author/Sandeep-Chinchali/3102622', 'https://www.semanticscholar.org/author/Sachin-Katti/46443309']",372;199;4,54;10;8,9;7;1,36;17;0
"['https://www.semanticscholar.org/author/Yihe-Dong/145595795', 'https://www.semanticscholar.org/author/Piotr-Indyk/1688317', 'https://www.semanticscholar.org/author/Ilya-P.-Razenshteyn/2111443', 'https://www.semanticscholar.org/author/Tal-Wagner/39549368']",42;24320;1345;117,13;286;53;22,3;66;18;6,2;3234;126;18
"['https://www.semanticscholar.org/author/Minshuo-Chen/31277313', 'https://www.semanticscholar.org/author/Zhaoran-Wang/50218397', 'https://www.semanticscholar.org/author/Tianyi-Liu/2636832', 'https://www.semanticscholar.org/author/Zhuoran-Yang/150358650', 'https://www.semanticscholar.org/author/Xingguo-Li/50078946', '-1', 'https://www.semanticscholar.org/author/Tuo-Zhao/36345161']",58;108;35;182;606;-1;2458,21;26;10;41;77;-1;109,4;6;2;7;12;-1;19,6;16;3;22;65;0;205
"['https://www.semanticscholar.org/author/Kaicheng-Yu/9945144', 'https://www.semanticscholar.org/author/Christian-Sciuto/71865834', 'https://www.semanticscholar.org/author/Martin-Jaggi/2456863', 'https://www.semanticscholar.org/author/Claudiu-Musat/144620464', 'https://www.semanticscholar.org/author/Mathieu-Salzmann/2862871']",144;96;3856;214;5661,9;2;114;39;198,5;1;27;6;42,13;8;577;30;623
"['https://www.semanticscholar.org/author/George-Stamatescu/31600197', 'https://www.semanticscholar.org/author/Federica-Gerace/6978390', 'https://www.semanticscholar.org/author/Carlo-Lucibello/1975555', 'https://www.semanticscholar.org/author/Ian-G.-Fuss/50054524', 'https://www.semanticscholar.org/author/Langford-B.-White/2887308']",19;51;230;179;864,6;13;15;18;117,2;4;6;5;14,1;3;14;19;59
