authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Ziang-Xie/40548699', 'https://www.semanticscholar.org/author/Sida-I.-Wang/8729431', 'https://www.semanticscholar.org/author/Jiwei-Li/5183779', 'https://www.semanticscholar.org/author/Daniel-L%C3%A9vy/153461979', 'https://www.semanticscholar.org/author/Allen-Nie/21771052', 'https://www.semanticscholar.org/author/Dan-Jurafsky/1746807', 'https://www.semanticscholar.org/author/Andrew-Y.-Ng/34699434']",541;1848;5787;208;138;29825;102605,29;17;100;11;15;309;289,12;12;30;4;4;76;114,55;186;835;19;19;3495;14220
"['https://www.semanticscholar.org/author/Dustin-Tran/47497262', 'https://www.semanticscholar.org/author/Matthew-D.-Hoffman/28552618', 'https://www.semanticscholar.org/author/Rif-A.-Saurous/2278009', 'https://www.semanticscholar.org/author/Eugene-Brevdo/2445241', 'https://www.semanticscholar.org/author/Kevin-Murphy/1702318', 'https://www.semanticscholar.org/author/David-M.-Blei/1796335']",1842;8751;2474;8188;16491;55384,50;94;31;23;83;306,20;29;15;11;41;77,194;1228;420;929;2323;9343
"['https://www.semanticscholar.org/author/Junyoung-Chung/8270717', 'https://www.semanticscholar.org/author/Sungjin-Ahn/3103594', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762']",5932;1364;205027,21;41;807,9;12;147,938;162;24136
"['https://www.semanticscholar.org/author/Matko-Bosnjak/2709802', 'https://www.semanticscholar.org/author/Tim-Rockt%C3%A4schel/2620211', 'https://www.semanticscholar.org/author/Jason-Naradowsky/2300343', 'https://www.semanticscholar.org/author/Sebastian-Riedel/145941664']",3517;2272;835;5852,24;48;27;230,11;22;12;35,477;282;126;891
"['https://www.semanticscholar.org/author/Frank-S.-He/46463180', 'https://www.semanticscholar.org/author/Yang-Liu/47909037', 'https://www.semanticscholar.org/author/Alexander-G.-Schwing/2068227', 'https://www.semanticscholar.org/author/Jian-Peng/144439558']",55;284;3755;2121,6;52;117;120,2;8;31;23,8;29;348;207
"['https://www.semanticscholar.org/author/Junbo-Jake-Zhao/7818229', 'https://www.semanticscholar.org/author/Micha%C3%ABl-Mathieu/143949035', 'https://www.semanticscholar.org/author/Yann-LeCun/1688882']",3383;8016;92622,14;18;345,9;16;107,451;767;10396
"['https://www.semanticscholar.org/author/Mengye-Ren/2540599', 'https://www.semanticscholar.org/author/Renjie-Liao/2246396', 'https://www.semanticscholar.org/author/Raquel-Urtasun/2422559', 'https://www.semanticscholar.org/author/Fabian-H-Sinz/50095217', 'https://www.semanticscholar.org/author/Richard-S.-Zemel/1804104']",1502;1615;24598;1727;21678,18;63;245;44;208,12;22;73;16;52,213;208;3464;258;2504
"['https://www.semanticscholar.org/author/Jiwei-Li/5183779', 'https://www.semanticscholar.org/author/Alexander-H.-Miller/143622869', 'https://www.semanticscholar.org/author/Sumit-Chopra/3295092', ""https://www.semanticscholar.org/author/Marc'Aurelio-Ranzato/1706809"", 'https://www.semanticscholar.org/author/Jason-Weston/145183709']",5787;975;11361;21223;45098,100;16;56;91;243,30;10;22;43;78,835;116;1149;2114;5838
"['https://www.semanticscholar.org/author/Bradly-C.-Stadie/3275284', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Ilya-Sutskever/1701686']",773;36938;132389,16;433;90,7;94;53,50;4451;17007
"['https://www.semanticscholar.org/author/Chris-J.-Maddison/2772217', 'https://www.semanticscholar.org/author/Andriy-Mnih/1714004', 'https://www.semanticscholar.org/author/Yee-Whye-Teh/1725303']",8342;9769;23411,30;37;249,15;21;52,525;1554;3226
