year,title,first_appearance_date,papers,authors
2020,On PAC-Bayes Bounds for Deep Neural Networks using the Loss Curvature,9/25/2019,['https://www.semanticscholar.org/paper/Better-PAC-Bayes-Bounds-for-Deep-Neural-Networks-Pitas/4c3400566cd002b166e494d50bcc5f9ecd3eb7f6'],['https://www.semanticscholar.org/author/Konstantinos-Pitas/3208802']
2020,RoBERTa: A Robustly Optimized BERT Pretraining Approach,7/26/2019,['https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de'],"['https://www.semanticscholar.org/author/Danqi-Chen/50536468', 'https://www.semanticscholar.org/author/Luke-Zettlemoyer/1982950', 'https://www.semanticscholar.org/author/Mandar-Joshi/144863691', 'https://www.semanticscholar.org/author/Naman-Goyal/39589154', 'https://www.semanticscholar.org/author/Jingfei-Du/3048577', 'https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Omer-Levy/39455775', 'https://www.semanticscholar.org/author/Mike-Lewis/35084211', 'https://www.semanticscholar.org/author/Yinhan-Liu/118656283', 'https://www.semanticscholar.org/author/Veselin-Stoyanov/1759422']"
2020,A Coordinate-Free Construction of Scalable Natural Gradient,8/30/2018,['https://www.semanticscholar.org/paper/A-Coordinate-Free-Construction-of-Scalable-Natural-Luk-Grosse/2472268b5e5f52a640bb6ac802c68c10f59a3c7d'],"['https://www.semanticscholar.org/author/Roger-B.-Grosse/1785346', 'https://www.semanticscholar.org/author/Kevin-Luk/48180318']"
2020,Evaluating and Calibrating Uncertainty Prediction in Regression Tasks,5/28/2019,['https://www.semanticscholar.org/paper/Evaluating-and-Calibrating-Uncertainty-Prediction-Levi-Gispan/42523826622d28a502a4c527c75318828ebb4ed0'],"['https://www.semanticscholar.org/author/Dan-Levi/145176749', 'https://www.semanticscholar.org/author/Liran-Gispan/23111015', 'https://www.semanticscholar.org/author/Niv-Giladi/67166430', 'https://www.semanticscholar.org/author/Ethan-Fetaya/2645055']"
2020,Why Does the VQA Model Answer No?: Improving Reasoning through Visual and Linguistic Inference,9/25/2019,['https://www.semanticscholar.org/paper/Why-Does-the-VQA-Model-Answer-No%3A-Improving-through-Jung-Byun/53d17da13a32dc81487eba3bc8cde6b57435032b'],"['https://www.semanticscholar.org/author/Kyujin-Shim/134268354', 'https://www.semanticscholar.org/author/Seungjun-Jung/3432445', 'https://www.semanticscholar.org/author/Junyoung-Byun/38900673', 'https://www.semanticscholar.org/author/Changick-Kim/145568138']"
2020,Modeling Winner-Take-All Competition in Sparse Binary Projections,7/27/2019,['https://www.semanticscholar.org/paper/Modeling-Winner-Take-All-Competition-in-Sparse-Li/9fadabe716057f5f375438bd2c7337f3540c3a12'],['https://www.semanticscholar.org/author/Wenye-Li/33938985']
2020,When Robustness Doesn’t Promote Robustness: Synthetic vs. Natural Distribution Shifts on ImageNet,9/25/2019,['https://www.semanticscholar.org/paper/When-Robustness-Doesn%E2%80%99t-Promote-Robustness%3A-vs.-on-Taori-Dave/13b143b0c88044cb6e2ee84dcd2ee2817120ff64'],"['https://www.semanticscholar.org/author/Ludwig-Schmidt/152772922', 'https://www.semanticscholar.org/author/Rohan-Taori/46199305', 'https://www.semanticscholar.org/author/Achal-Dave/2298523', 'https://www.semanticscholar.org/author/Benjamin-Recht/1756891', 'https://www.semanticscholar.org/author/Nicholas-Carlini/39907737', 'https://www.semanticscholar.org/author/Vaishaal-Shankar/34961417']"
2020,Perturbations are not Enough: Generating Adversarial Examples with Spatial Distortions,10/3/2019,['https://www.semanticscholar.org/paper/Perturbations-are-not-Enough%3A-Generating-Examples-Zhao-Le/7e69287ac94ecb2af7fbec1cad0c773ea3193de9'],"['https://www.semanticscholar.org/author/Tamas-Abraham/144529106', 'https://www.semanticscholar.org/author/Paul-Montague/144644538', 'https://www.semanticscholar.org/author/Trung-Le/145405186', 'https://www.semanticscholar.org/author/Olivier-Y.-de-Vel/1790642', 'https://www.semanticscholar.org/author/He-Zhao/40351549', 'https://www.semanticscholar.org/author/Dinh-Q.-Phung/1749657']"
2020,Adaptive Data Augmentation with Deep Parallel Generative Models,,['-1'],['-1']
2020,Visual Explanation for Deep Metric Learning,9/25/2019,['https://www.semanticscholar.org/paper/Visual-Explanation-for-Deep-Metric-Learning-Zhu-Yang/625fc32b8aabb24ae21dc5a05ea7aaaf8ac490db'],"['https://www.semanticscholar.org/author/Sijie-Zhu/9385903', 'https://www.semanticscholar.org/author/Chen-Chen/1828568', 'https://www.semanticscholar.org/author/Taojiannan-Yang/1390892946']"
