authors_review,authors_links,author_stats
Peter O'Connor;Max Welling,"[""https://www.semanticscholar.org/author/Peter-O'Connor/1410167474"", 'https://www.semanticscholar.org/author/Max-Welling/1678311']","[{'Publications': '81', 'h-index': '17', 'Citations': '1,787', 'Highly Influential Citations': '133'}, {'Publications': '269', 'h-index': '59', 'Citations': '26,809', 'Highly Influential Citations': '5,116'}]"
Elad Hoffer;Nir Ailon,"['https://www.semanticscholar.org/author/Elad-Hoffer/40555034', 'https://www.semanticscholar.org/author/Nir-Ailon/2048494']","[{'Publications': '27', 'h-index': '12', 'Citations': '1,479', 'Highly Influential Citations': '175'}, {'Publications': '92', 'h-index': '24', 'Citations': '3,402', 'Highly Influential Citations': '413'}]"
Jeff Donahue;Philipp Krähenbühl;Trevor Darrell,"['https://www.semanticscholar.org/author/Jeff-Donahue/7408951', 'https://www.semanticscholar.org/author/Philipp-Kr%C3%A4henb%C3%BChl/2562966', 'https://www.semanticscholar.org/author/Trevor-Darrell/1753210']","[{'Publications': '56', 'h-index': '25', 'Citations': '35,234', 'Highly Influential Citations': '4,713'}, {'Publications': '43', 'h-index': '26', 'Citations': '8,830', 'Highly Influential Citations': '1,548'}, {'Publications': '559', 'h-index': '112', 'Citations': '89,488', 'Highly Influential Citations': '11,436'}]"
Alex X. Lee;Sergey Levine;Pieter Abbeel,"['https://www.semanticscholar.org/author/Alex-X.-Lee/49250083', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992']","[{'Publications': '18', 'h-index': '15', 'Citations': '1,340', 'Highly Influential Citations': '151'}, {'Publications': '310', 'h-index': '73', 'Citations': '24,658', 'Highly Influential Citations': '3,204'}, {'Publications': '433', 'h-index': '94', 'Citations': '36,938', 'Highly Influential Citations': '4,451'}]"
Antoine Bordes;Y-Lan Boureau;Jason Weston,"['https://www.semanticscholar.org/author/Antoine-Bordes/1713934', 'https://www.semanticscholar.org/author/Y-Lan-Boureau/90841478', 'https://www.semanticscholar.org/author/Jason-Weston/145183709']","[{'Publications': '77', 'h-index': '32', 'Citations': '16,045', 'Highly Influential Citations': '2,359'}, {'Publications': '24', 'h-index': '14', 'Citations': '4,903', 'Highly Influential Citations': '334'}, {'Publications': '243', 'h-index': '78', 'Citations': '45,098', 'Highly Influential Citations': '5,838'}]"
Daniel D. Johnson,['https://www.semanticscholar.org/author/Daniel-D.-Johnson/143957977'],"[{'Publications': '55', 'h-index': '8', 'Citations': '238', 'Highly Influential Citations': '16'}]"
David Lopez-Paz;Maxime Oquab,"['https://www.semanticscholar.org/author/David-Lopez-Paz/1401804750', 'https://www.semanticscholar.org/author/Maxime-Oquab/2093491']","[{'Publications': '46', 'h-index': '19', 'Citations': '2,441', 'Highly Influential Citations': '418'}, {'Publications': '20', 'h-index': '7', 'Citations': '2,924', 'Highly Influential Citations': '222'}]"
Caglar Gulcehre;Marcin Moczulski;Francesco Visin;Yoshua Bengio,"['https://www.semanticscholar.org/author/%C3%87aglar-G%C3%BCl%C3%A7ehre/1854385', 'https://www.semanticscholar.org/author/Marcin-Moczulski/3009779', 'https://www.semanticscholar.org/author/Francesco-Visin/2077146', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762']","[{'Publications': '36', 'h-index': '26', 'Citations': '19,554', 'Highly Influential Citations': '2,990'}, {'Publications': '19', 'h-index': '7', 'Citations': '437', 'Highly Influential Citations': '40'}, {'Publications': '11', 'h-index': '9', 'Citations': '2,757', 'Highly Influential Citations': '222'}, {'Publications': '807', 'h-index': '147', 'Citations': '205,027', 'Highly Influential Citations': '24,136'}]"
Abhishek Sinha;Aahitagni Mukherjee;Mausoom Sarkar;Balaji Krishnamurthy,"['https://www.semanticscholar.org/author/Abhishek-Sinha/144318274', 'https://www.semanticscholar.org/author/Aahitagni-Mukherjee/17765450', 'https://www.semanticscholar.org/author/Mausoom-Sarkar/39230373', 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/145846953']","[{'Publications': '19', 'h-index': '4', 'Citations': '48', 'Highly Influential Citations': '3'}, {'Publications': '3', 'h-index': '2', 'Citations': '10', 'Highly Influential Citations': '1'}, {'Publications': '13', 'h-index': '3', 'Citations': '18', 'Highly Influential Citations': '2'}, {'Publications': '68', 'h-index': '8', 'Citations': '272', 'Highly Influential Citations': '20'}]"
Chengtao Li;Daniel Tarlow;Alexander L. Gaunt;Marc Brockschmidt;Nate Kushman,"['https://www.semanticscholar.org/author/Chengtao-Li/7430758', 'https://www.semanticscholar.org/author/Daniel-Tarlow/1725299', 'https://www.semanticscholar.org/author/Alexander-L.-Gaunt/35058304', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Nate-Kushman/1684887']","[{'Publications': '102', 'h-index': '20', 'Citations': '1,120', 'Highly Influential Citations': '122'}, {'Publications': '68', 'h-index': '23', 'Citations': '2,537', 'Highly Influential Citations': '306'}, {'Publications': '38', 'h-index': '14', 'Citations': '1,188', 'Highly Influential Citations': '88'}, {'Publications': '61', 'h-index': '22', 'Citations': '2,508', 'Highly Influential Citations': '329'}, {'Publications': '29', 'h-index': '17', 'Citations': '1,504', 'Highly Influential Citations': '202'}]"
